Reach,River Sta,Description,Profile,Top W Chnl,Q Channel
,,,,(m),(m3/s)
,,,,,
2211,101,,2yr_Fut,10.15,84.35
2211,101,,5yr_Fut,10.46,124.22
2211,101,,10yr_Fut,10.86,163.57
2211,101,,25yr_Fut,11.78,193.04
2211,101,,50yr_Fut,19.08,223.7
2211,101,,100yr_Fut,20.45,255.98
,,,,,
2211,102,,2yr_Fut,17.13,84.35
2211,102,,5yr_Fut,18.71,124.22
2211,102,,10yr_Fut,20.08,163.57
2211,102,,25yr_Fut,21.01,193.04
2211,102,,50yr_Fut,21.91,223.7
2211,102,,100yr_Fut,22.81,255.98
,,,,,
2211,16875,18-Central Pkwy Bridge,,,
,,,,,
2211,103,,2yr_Fut,20.47,84.35
2211,103,,5yr_Fut,22.49,124.22
2211,103,,10yr_Fut,24.18,163.57
2211,103,,25yr_Fut,25.4,193.04
2211,103,,50yr_Fut,25.88,223.7
2211,103,,100yr_Fut,27.23,255.98
,,,,,
2211,104,,2yr_Fut,16.69,84.33
2211,104,,5yr_Fut,16.69,114.97
2211,104,,10yr_Fut,16.69,142.27
2211,104,,25yr_Fut,16.69,157.04
2211,104,,50yr_Fut,16.69,165.77
2211,104,,100yr_Fut,16.69,178.16
,,,,,
2211,105,,2yr_Fut,20.17,75.06
2211,105,,5yr_Fut,20.17,99.47
2211,105,,10yr_Fut,20.17,122.92
2211,105,,25yr_Fut,20.17,140.04
2211,105,,50yr_Fut,20.17,155.31
2211,105,,100yr_Fut,20.17,171.01
,,,,,
2211,106,,2yr_Fut,18.4,83.91
2211,106,,5yr_Fut,19.63,106.91
2211,106,,10yr_Fut,19.63,124.24
2211,106,,25yr_Fut,19.63,136.71
2211,106,,50yr_Fut,19.63,145.92
2211,106,,100yr_Fut,19.63,155.08
,,,,,
2211,107,,2yr_Fut,14.78,75.37
2211,107,,5yr_Fut,14.78,102.45
2211,107,,10yr_Fut,14.78,112.68
2211,107,,25yr_Fut,14.78,126.49
2211,107,,50yr_Fut,14.78,133.57
2211,107,,100yr_Fut,14.78,137.63
,,,,,
2211,17061,19-Ped Bridge,,,
,,,,,
2211,108,,2yr_Fut,21.27,67.17
2211,108,,5yr_Fut,21.27,83.29
2211,108,,10yr_Fut,21.27,107.58
2211,108,,25yr_Fut,21.27,121.84
2211,108,,50yr_Fut,21.27,137.02
2211,108,,100yr_Fut,21.27,150.83
,,,,,
2211,109,,2yr_Fut,17.66,73.49
2211,109,,5yr_Fut,17.71,86.78
2211,109,,10yr_Fut,17.71,123.13
2211,109,,25yr_Fut,17.71,141.17
2211,109,,50yr_Fut,17.71,157.43
2211,109,,100yr_Fut,17.71,174.63
,,,,,
2211,110,,2yr_Fut,20.1,73.08
2211,110,,5yr_Fut,20.1,98.28
2211,110,,10yr_Fut,20.1,121.76
2211,110,,25yr_Fut,20.1,140.33
2211,110,,50yr_Fut,20.1,157.13
2211,110,,100yr_Fut,20.1,175.06
,,,,,
2211,120,,2yr_Fut,18.35,59.22
2211,120,,5yr_Fut,18.35,80.7
2211,120,,10yr_Fut,18.35,101.65
2211,120,,25yr_Fut,18.35,118.57
2211,120,,50yr_Fut,18.35,133.94
2211,120,,100yr_Fut,18.35,150.3
,,,,,
2211,130,,2yr_Fut,19.56,70.66
2211,130,,5yr_Fut,19.56,101.4
2211,130,,10yr_Fut,19.56,128.57
2211,130,,25yr_Fut,19.56,149.77
2211,130,,50yr_Fut,19.56,168.94
2211,130,,100yr_Fut,19.56,189.45
,,,,,
2211,140,,2yr_Fut,16.83,77.36
2211,140,,5yr_Fut,18.36,111.2
2211,140,,10yr_Fut,18.36,140.26
2211,140,,25yr_Fut,18.36,163.29
2211,140,,50yr_Fut,18.36,184.15
2211,140,,100yr_Fut,18.36,206.27
,,,,,
2211,150,,2yr_Fut,15.98,77.77
2211,150,,5yr_Fut,17.63,111.54
2211,150,,10yr_Fut,17.63,144.86
2211,150,,25yr_Fut,17.63,171.22
2211,150,,50yr_Fut,17.63,195.19
2211,150,,100yr_Fut,17.63,220.33
,,,,,
2211,160,,2yr_Fut,14.45,77.77
2211,160,,5yr_Fut,14.73,115.88
2211,160,,10yr_Fut,15.12,153.81
2211,160,,25yr_Fut,15.43,184.87
2211,160,,50yr_Fut,15.66,213.65
2211,160,,100yr_Fut,15.75,243.8
,,,,,
2211,170,,2yr_Fut,18.91,77.77
2211,170,,5yr_Fut,22.73,115.88
2211,170,,10yr_Fut,24.7,153.81
2211,170,,25yr_Fut,26.09,184.87
2211,170,,50yr_Fut,27.24,213.66
2211,170,,100yr_Fut,28.38,244.8
